origin_port	trace_direction	boundary_kind	scope	net	module	detail	rtl	via_filelist	filelist_chain
clk	driver	port-in	hc_verify_top.u_gen_soc.gen_blk.gen_loop[0].u_cell	done	leaf_cell	module input port in leaf_cell	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/leaf_cell.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f -> /home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f
clk	driver	port-in	hc_verify_top.u_gen_soc	clk	mid_gen_soc	module input port in mid_gen_soc	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_gen_soc.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
clk	driver	port-in	hc_verify_top.u_gen_soc	rst_n	mid_gen_soc	module input port in mid_gen_soc	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_gen_soc.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
rst_n	driver	port-in	hc_verify_top.u_gen_soc.gen_blk.gen_loop[0].u_cell	done	leaf_cell	module input port in leaf_cell	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/leaf_cell.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f -> /home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f
rst_n	driver	port-in	hc_verify_top.u_gen_soc	clk	mid_gen_soc	module input port in mid_gen_soc	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_gen_soc.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
rst_n	driver	port-in	hc_verify_top.u_gen_soc	rst_n	mid_gen_soc	module input port in mid_gen_soc	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_gen_soc.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
# instance	hc_verify_top.u_gen_soc.gen_blk.gen_loop[0].u_cell
# module	leaf_cell
# direction	driver
# path_kind	ff
# port_traces	2
# instance_rtl	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/leaf_cell.v
# instance_via_filelist	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f
# instance_filelist_chain	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f -> /home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f
